Название Население Код_9 Часовой_пояс Площадь Адм._центр/столица Округ
Алтайский_край 2296353 1 МСК+4 167996 Барнаул СФО
Амурская_область 781846 10 МСК+6 361908 Благовещенск ДВФО
Архангельская_область 1082662 11 МСК 413103 Архангельск СЗФО
Астраханская_область 997778 12 МСК+1 49024 Астрахань ЮФО
Белгородская_область 1541259 14 МСК 27134 Белгород ЦФО
Брянская_область 1182682 15 МСК 34857 Брянск ЦФО
Владимирская_область 1342099 17 МСК 29084 Владимир ЦФО
Волгоградская_область 2474556 18 МСК 112877 Волгоград ЮФО
Вологодская_область 1151042 19 МСК 144527 Вологда СЗФО
Воронежская_область 2305608 20 МСК 52216 Воронеж ЦФО
Еврейская_автономная_область 156500 99 МСК+7 36271 Биробиджан ДВФО
Забайкальский_край 1053485 76 МСК+6 431892 Чита ДВФО
Ивановская_область 987032 24 МСК 21437 Иваново ЦФО
Иркутская_область 2375021 25 МСК+5 774846 Иркутск СФО
Кабардино-Балкарская_Республика 869191 83 МСК 12470 Нальчик СКФО
Калиниградская_область 1018624 27 МСК-1 15125 Калининград СЗФО
Калужская_область 1000980 29 МСК 29777 Калуга ЦФО
Камчатский_край 311667 30 МСК+9 464275 Петропавлоск-Камчатский ДВФО
Карачаево-Черкеская_Республика 465357 91 МСК 14277 Черкесск СКФО
Кемеровская_область 2633446 32 МСК+4 95725 Кемерово СФО
Кировская_область 1250173 33 МСК 120374 Киров ПФО
Костромская_область 628423 34 МСК 60211 Кострома ЦФО
Краснодарский_край 5683947 3 МСК 75485 Краснодар ЮФО
Красноярский_край 2855899 4 МСК+4 2366797 Красноярск СФО
Курганская_область 818570 37 МСК+2 71488 Курган УФО
Курская_область 1096488 38 МСК 29997 Курск ЦФО
Ленинградская_область 1892711 41 МСК 83908 Санкт-Петербург СЗФО
Липецкая_область 1128192 42 МСК 24047 Липецк ЦФО
Магаданская_область 139034 44 МСК+8 462464 Магадан ДВФО
Москва 12655050 45 МСК 2561 Москва ЦФО
Московская_область 7708499 46 МСК 44329 Москва ЦФО
Мурманская_область 732864 47 МСК 144902 Мурманск СЗФО
Ненецкий_автономный_округ 44389 11 МСК 176810 Нарьян-Мар СЗФО
Нижегородская_область 3176552 22 МСК 76624 Нижний_Новгород ПФО
Новгородская_область 592415 49 МСК 54501 Великий_Новгород СЗФО
Новосибирская_область 2785836 50 МСК+4 177756 Новосибирск СФО
Омская_область 1903675 52 МСК+3 141140 Омск СФО
Оренбургская_область 1942915 53 МСК+2 123702 Оренбург ПФО
Орловская_область 724686 54 МСК 24652 Орёл ЦФО
Пензенская_область 1290898 56 МСК 43352 Пенза ПФО
